GISJOIN,STATE,STATEFP,STATENH,A00AA1790,A00AA1800,A00AA1810,A00AA1820,A00AA1830,A00AA1840,A00AA1850,A00AA1860,A08AA1820,A08AA1830,A08AA1840,A08AA1850,A08AA1860,A08AB1820,A08AB1830,A08AB1840,A08AB1850,A08AB1860
"G010","Alabama","01","010",,,,127901,309527,590756,771623,964201,67937,160860,305082,392343,489291,59964,148667,285674,379280,474910
"G050","Arkansas","05","050",,,,,,97574,209897,435450,,,52578,109846,227747,,,44996,100051,207703
"G055","Arkansas Territory",,"055",,,,14273,30388,,,,7835,16576,,,,6420,13812,,,
"G060","California","06","060",,,,,,,92597,379994,,,,85580,273337,,,,7017,106657
"G085","Colorado Territory",,"085",,,,,,,,34277,,,,,32691,,,,,1586
"G090","Connecticut","09","090",237655,251002,261942,275248,297675,309978,370792,460147,134581,146905,152199,183704,225994,140541,150770,157779,187088,234153
"G095","Dakota Territory",,"095",,,,,,,,4837,,,,,2797,,,,,2040
"G100","Delaware","10","100",59096,64273,72674,72749,76748,78085,91532,112216,36939,38533,39256,45955,56689,35810,38215,38829,45577,55527
"G110","District of Columbia","11","110",,14093,24023,33039,39834,43712,51687,75080,15909,19144,20333,24164,35499,17130,20690,23379,27523,39581
"G120","Florida","12","120",,,,,,,87445,140424,,,,45927,72930,,,,41518,67494
"G125","Florida Territory",,"125",,,,,34730,54477,,,,18604,29892,,,,16126,24585,,
"G130","Georgia","13","130",82548,162686,252433,340989,516823,691392,906185,1057286,175171,263366,351243,456465,531945,165814,253457,340149,449720,525341
"G170","Illinois","17","170",,,,55211,157445,476183,851470,1711951,30186,83219,257279,448321,902761,24976,74226,218904,403149,809190
"G175","Illinois Territory",,"175",,,12282,,,,,,,,,,,,,,,
"G180","Indiana","18","180",,,,147178,343031,685866,988416,1350428,77401,177742,356505,511893,699260,69777,165289,329361,476523,651168
"G185","Indiana Territory",,"185",,5641,24520,,,,,,,,,,,,,,,
"G190","Iowa","19","190",,,,,,,192214,674913,,,,101052,354493,,,,91162,320420
"G195","Iowa Territory",,"195",,,,,,43112,,,,,24355,,,,,18757,,
"G205","Kansas Territory",,"205",,,,,,,,107206,,,,,59178,,,,,48028
"G210","Kentucky","21","210",,220955,406511,564317,687917,779828,982405,1155684,289103,352084,400088,502730,592321,275032,335833,379740,479675,563363
"G220","Louisiana","22","220",,,,153407,215739,352411,517762,708002,82407,114856,187802,274596,369994,70516,100673,164609,243166,338008
"G225","Louisiana Territory",,"225",,,20845,,,,,,,,,,,,,,,
"G230","Maine","23","230",,,,298335,399455,501793,583169,628279,149632,201299,253709,297471,317189,148637,198156,248084,285698,311090
"G240","Maryland","24","240",319728,341548,380546,407350,447040,470019,583034,687049,206862,225688,234059,292323,340898,200488,221352,235960,290711,346151
"G250","Massachusetts","25","250",475199,574564,700745,523287,610408,737699,994514,1231066,255462,298043,365333,488517,596713,267697,312365,372366,505997,634353
"G260","Michigan","26","260",,,,,,212267,397654,749113,,,113788,209896,394694,,,98479,187758,354419
"G265","Michigan Territory",,"265",,,4762,8896,31639,,,,5488,18349,,,,3277,13290,,,
"G270","Minnesota","27","270",,,,,,,,172023,,,,,93084,,,,,78939
"G275","Minnesota Territory",,"275",,,,,,,6077,,,,,3716,,,,,2361,
"G280","Mississippi","28","280",,,,75448,136621,375651,606526,791305,40375,71853,195974,311724,405948,35073,64768,179677,294802,385357
"G285","Mississippi Territory",,"285",,8850,40352,,,,,,,,,,,,,,,
"G290","Missouri","29","290",,,,,140455,383702,682044,1182012,,74128,203095,357832,622201,,66327,180607,324212,559811
"G295","Missouri Territory",,"295",,,,66586,,,,,36528,,,,,30029,,,,
"G315","Nebraska Territory",,"315",,,,,,,,28841,,,,,16760,,,,,12081
"G325","Nevada Territory",,"325",,,,,,,,6857,,,,,6137,,,,,720
"G330","New Hampshire","33","330",141899,183858,214460,244161,269328,284574,317976,326073,119582,131459,139252,156220,159816,124440,137869,145322,161756,166257
"G340","New Jersey","34","340",184139,211149,245562,277575,320823,373306,489555,672035,140023,163089,188138,245346,335051,137403,157734,185168,244209,336984
"G355","New Mexico Territory",,"355",,,,,,,61547,93516,,,,31742,49091,,,,29805,44425
"G360","New York","36","360",340241,589051,959049,1372812,1918608,2428921,3097394,3880735,698077,972920,1231166,1567941,1933532,674014,940086,1197755,1529453,1947203
"G370","North Carolina","37","370",395005,478103,555500,638829,737987,753419,869039,992622,323590,369828,374820,430904,495616,315239,368159,378599,438135,497006
"G385","Northwest Territory",,"385",,45365,,,,,,,,,,,,,,,,
"G390","Ohio","39","390",,,230760,581434,937903,1519467,1980329,2339511,303061,484503,784102,1016808,1190162,278234,453400,735365,963521,1149349
"G410","Oregon","41","410",,,,,,,,52465,,,,,31591,,,,,20874
"G413","Oregon Territory",,"413",,,,,,,13294,,,,,8258,,,,,5036,
"G417","Orleans Territory",,"417",,,76556,,,,,,,,,,,,,,,
"G420","Pennsylvania","42","420",433611,602365,810091,1049458,1348233,1724033,2311786,2906215,531507,684361,867557,1168103,1454419,516000,663872,856476,1143683,1451796
"G440","Rhode Island","44","440",69112,69122,76931,83059,97199,108830,147545,174620,40097,46884,52776,72078,84133,42918,50315,56054,75467,90487
"G450","South Carolina","45","450",249073,345591,415115,502741,581185,594398,668507,703708,254702,289731,293038,329634,347320,248039,291454,301360,338873,356388
"G465","Southwest Territory",,"465",35691,,,,,,,,,,,,,,,,,
"G470","Tennessee","47","470",,105602,261727,422813,681904,829210,1002717,1109801,214848,347612,419707,504132,562718,207913,334292,409503,498585,547083
"G480","Texas","48","480",,,,,,,212592,604215,,,,113780,320167,,,,98812,284048
"G495","Utah Territory",,"495",,,,,,,11380,40273,,,,6046,20255,,,,5334,20018
"G500","Vermont","50","500",85341,154465,217895,235764,280652,291948,314120,315098,117748,140422,146742,160033,158786,118001,140230,145206,154087,156312
"G510","Virginia","51","510",821287,880200,974600,1065379,1211405,1239797,1421661,1596318,540854,609351,623702,717864,806101,524262,602054,616095,703797,790217
"G535","Washington Territory",,"535",,,,,,,,11594,,,,,8446,,,,,3148
"G550","Wisconsin","55","550",,,,,,,305391,775881,,,,164716,407449,,,,140675,368432
"G555","Wisconsin Territory",,"555",,,,,,30945,,,,,18862,,,,,12083,,